ID Pelanggan,Nama Pelanggan,Alamat Pelanggan,Golongan Tarif,kemunculan
511020007271,S.P.G.N.I.,JL TERATAI 4 RT.00 RW.00 00304004,"S1 / 33,000 VA",6
511020007289,SPG NEGERI I,JL TERATAI 4 RT.00 RW.00 00304004,"S1 / 10,600 VA",6
511020007297,FIP IKIP SURABAYA,JL TERATAI 4 RT.00 RW.00 00304004,"R2 / 5,500 VA",6
511020007301,S P G NEG 1/ASRAMA,JL TERATAI 4 RT.00 RW.00 00304004,"S1 / 5,500 VA",6
511020098560,SMP UNESA 2 SURABAYA,JL PROF DR MOESTOPO 4 RT.0,"S1 / 6,600 VA",6
511020561375,MUTI'AH,JL MAYJEND PROF.DR.MOESTOPO 4,"B2 / 23,000 VA",1
511413054825,PERCETAKAN UNESA,JL KAMPUS KETINTANG RT.00 RW.00,"B2 / 16,500 VA",6
511413300674,GED. KEWIRAUSAHAAN UNESA,JL KETINTANG TIMUR PTT J-01 10,"B2 / 16,500 VA",6
511413300682,GED. KEWIRAUSAHAAN UNESA,JL KETINTANG TIMUR PTT J-01 09,"B2 / 6,600 VA",6
511413300779,GED. KEWIRAUSAHAAN UNESA,JL KETINTANG TIMUR PTT J-01 01,"B2 / 6,600 VA",6
511620472469,GEDUNG SAWUNGGALING UNESA,JL KAMPUS UNESA LDH WETAN 0,"S1 / 197,000 VA",15
511800233177,GEDUNG SGPLB,DS WEDI 0 RT. 0 RW. 0 GEDANGAN,"S1 / 33,000 VA",6
514570326758,PENDIDIKAN STIKOM SBY,JL RY PACET MOJOKERTO 66 RW.00,"S1 / 1,300 VA",7
511411262324,IKIP,JL KETINTANG KAMPUS RW. 0,"S2 / 345,000 VA",18
511413095396,UNIV P3B-UNESA / LABORAT,JL KETINTANG / IKIP RT.00 RW.00,"S1 / 66,000 VA",18
511413113795,KAMPUS UNESA,JL KETINTANG NO RT.00 RW.00,"S1 / 53,000 VA",18
511413207608,BUSEM UNESA,JL KAMPUS KETINTANG DEP MASJID 0,"S1 / 23,000 VA",18
511413397209,GEDUNG PUSAT NALAR UNESA,JL KETINTANG SEBELAH TK LABO 19A,"B2 / 23,000 VA",17
511413427295,GEDUNG UNESA SCIENCE,KP UNESA KETINTANG 0 SURABAYA,"S2 / 345,000 VA",17
511413491515,GEDUNG UKM CENTER,JL KETINTANG KAMPUS UNESA 2,"S1 / 164,000 VA",18
511444207243,KOLAM RENANG UNESA,JL KOMP UNESA LIDAH RT.0 RW.0,S1 / 105.000 VA,17
511607257577,ASRAMA UNESA,JL KOMP UNESA LIDAH RT.00 RW.00,P1 / 197.000 VA,17
511620052962,KOSONG/GAGAL REGEX,KOSONG/GAGAL REGEX,KOSONG/GAGAL REGEX,17
511620087210,SMP LABORATORIUM UNESA,JL KAMPUS LIDAH WETAN 0,S2 / 555.000 VA,17
511620126643,KOSONG/GAGAL REGEX,KOSONG/GAGAL REGEX,KOSONG/GAGAL REGEX,17
511620212158,ASRAMA PUTRI 1 UNESA,JL LIDAH WETAN UNESA 0 LDH,B2 / 147.000 VA,17
511620212190,ASRAMA PUTRI 2 UNESA,JL LIDAH WETAN UNESA 0 LDH,B2 / 147.000 VA,17
511620219736,GEDUNG FUTSAL UNESA,JL LIDAH WETAN KAMPUS UNESA 0,B2 / 164.000 VA,17
511620304933,KOSONG/GAGAL REGEX,KOSONG/GAGAL REGEX,KOSONG/GAGAL REGEX,17
511620304958,GEDUNG FAK. SENI UNESA,JL LIDAH WETAN UNESA KAMPUS,S2 / 555.000 VA,17
511620304966,GEDUNG PERPUSTAKAAN UNESA,JL LIDAH WETAN UNESA KAMPUS,S2 / 345.000 VA,17
511620378473,RUSUN UNESA SURABAYA,JL KAMPUS UNESA LIDAH WETAN 0,S1 / 197.000 VA,17
511620405543,LAB ANTI DOPPING UNESA,JL LIDAH WETAN 0 LAKARSANTR,S2 / 555.000 VA,17
511620435955,GEDUNG PSIKOLOGI UNESA,KK KAMPUS LIDAH WETAN 1 RT.1,S2 / 555.000 VA,17
511620438389,G KULIAH BRSM OR DAN KES,JL RY KAMPUS UNESA FIK 00 LDH,S1 / 197.000 VA,17
511423194066,PGSD UNESA,JL PROF DR MOESTOPO 4 RT.0,"S1 / 3,500 VA",5
511413597731,F. HUKUM GEDUNG F2 UNESA,DK JL KETINTANG GEDUNG F2 0,"S1 / 197,000 VA",13
511412009237,IKIP SURABAYA,JL KETINTANG IKIP 0 RW. 0,"S1 / 197,000 VA",14
511413205030,LAB FT UNESA,JL KAMPUS KETINTANG 0,"S1 / 197,000 VA",14
511413229140,GED LAB TERPADU UNESA,JL KETINTANG 0 KETINTANG,"S2 / 240,000 VA",14
511413426363,GEDUNG TECKNO UNESA,KP UNESA KETINTANG 0 SURABAYA,"S2 / 345,000 VA",14
